Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.8,2.785,16.0
1.46,37.8,6.362,16.0
3.25,37.8,5.893,16.0
4.25,37.8,5.715,16.0
5.48,37.8,5.455,16.0
7.83,37.8,5.397,16.0
8.83,37.8,5.189,16.0
9.83,37.8,5.177,16.0
12.63,37.8,5.061,16.0
13.7,37.8,5.121,16.0
15.75,37.8,5.044,16.0
16.89,37.8,5.096,16.0
17.92,37.8,4.982,16.0
19.22,37.8,5.001,16.0
20.87,37.9,5.036,16.0
21.94,37.9,4.995,16.0
23.92,38.0,4.978,16.0
26.2,38.0,4.826,16.0
27.21,38.0,4.864,16.0
28.47,38.0,4.943,16.0
31.16,38.2,4.842,16.0
32.91,38.2,4.886,16.0
33.91,38.2,4.919,16.0
34.91,38.2,4.98,16.0
35.91,38.2,4.895,16.0
36.91,38.2,4.794,16.0
38.76,38.2,4.841,16.0
39.76,38.2,4.715,16.0
40.76,38.4,4.712,16.0
42.08,38.4,4.753,16.0
45.03,38.4,4.979,16.0
48.14,38.4,4.769,16.0
49.79,38.4,4.695,16.0
51.12,38.6,4.695,16.0
52.29,38.6,4.71,16.0
54.7,38.6,4.565,16.0
57.82,38.6,4.557,16.0
58.82,38.6,4.733,16.0
59.82,38.6,4.654,16.0
61.18,38.8,4.67,16.0
62.18,38.8,4.804,16.0
63.27,38.8,4.688,16.0
66.19,39.0,4.611,16.0
67.9,39.0,4.695,16.0
69.37,39.0,4.688,16.0
71.3,39.1,4.673,16.0
72.74,39.1,4.712,16.0
74.34,39.1,4.67,16.0
75.37,39.1,4.783,16.0
78.49,39.1,4.526,16.0
80.27,39.3,4.237,16.0
81.91,39.3,4.692,16.0
83.43,39.3,4.576,16.0
85.77,39.3,4.654,16.0
87.32,39.4,4.54,16.0
89.69,39.4,4.593,16.0
90.69,39.5,4.593,16.0
91.69,39.5,4.552,16.0
92.69,39.5,4.835,16.0
93.76,39.5,4.613,16.0
94.93,39.5,4.647,16.0
96.12,39.5,4.668,16.0
97.12,39.5,4.836,16.0
99.53,39.5,4.725,16.0
100.78,39.6,4.458,16.0
102.86,39.6,4.606,16.0
104.02,39.6,4.811,16.0
106.01,39.6,4.577,16.0
107.91,39.6,4.612,16.0
109.31,39.6,4.567,16.0
110.31,39.8,4.478,16.0
112.89,39.8,4.607,16.0
113.89,39.8,4.645,16.0
116.18,39.8,4.874,16.0
117.73,39.9,4.625,16.0
118.73,39.9,4.685,16.0
121.78,40.0,4.573,16.0
123.28,40.1,4.568,16.0
124.91,40.1,4.478,16.0
125.91,40.1,4.477,16.0
126.91,40.1,4.405,16.0
127.92,40.1,4.416,16.0
128.92,40.1,4.511,16.0
130.01,40.1,4.442,16.0
131.65,40.2,4.743,16.0
132.65,40.2,4.433,16.0
134.71,40.2,4.288,16.0
136.37,40.2,4.416,16.0
137.97,40.2,4.668,16.0
140.52,40.2,4.488,16.0
141.75,40.4,4.453,16.0
143.03,40.4,4.493,16.0
144.13,40.4,4.364,16.0
146.19,40.4,4.457,16.0
147.42,40.4,4.382,16.0
150.79,40.4,4.365,16.0
151.79,40.5,4.575,16.0
152.9,40.5,4.59,16.0
153.9,40.5,4.573,16.0
155.05,40.5,4.798,16.0
156.05,40.5,4.393,16.0
158.29,40.5,4.685,16.0
160.47,40.5,4.624,16.0
161.71,40.6,4.489,16.0
163.37,40.6,4.508,16.0
166.17,40.6,4.399,16.0
167.68,40.6,4.588,16.0
168.84,40.6,4.438,16.0
170.41,40.6,4.374,16.0
171.41,40.8,4.563,16.0
172.93,40.8,4.414,16.0
175.15,40.8,4.567,16.0
177.18,40.8,4.586,16.0
178.96,40.8,4.624,16.0
179.96,40.8,4.603,16.0
181.48,40.9,4.344,16.0
183.46,40.9,4.377,16.0
184.62,40.9,4.42,16.0
187.94,40.9,4.57,16.0
189.28,40.9,4.586,16.0
190.53,41.0,4.567,16.0
191.66,41.0,4.582,16.0
194.61,41.0,4.551,16.0
196.63,41.0,4.379,16.0
198.48,41.0,4.682,16.0
200.45,41.1,4.621,16.0
201.91,41.1,4.656,16.0
203.53,41.1,4.415,16.0
205.39,41.1,4.477,16.0
206.39,41.1,4.45,16.0
208.0,41.1,4.528,16.0
209.12,41.1,4.526,16.0
211.05,41.3,4.468,16.0
212.05,41.3,4.431,16.0
213.06,41.3,4.508,16.0
214.37,41.3,4.45,16.0
217.33,41.3,4.435,16.0
218.58,41.3,4.486,16.0
219.58,41.3,4.629,16.0
222.25,41.4,4.611,16.0
224.43,41.4,4.395,16.0
225.95,41.4,4.352,16.0
226.95,41.4,4.171,16.0
228.78,41.4,4.243,16.0
229.78,41.4,4.359,16.0
231.21,41.5,4.227,16.0
233.09,41.5,4.283,16.0
234.96,41.5,4.639,16.0
236.71,41.5,4.452,16.0
238.28,41.5,4.603,16.0
240.16,41.5,4.542,16.0
241.84,41.6,4.545,16.0
242.91,41.6,4.545,16.0
243.91,41.6,4.511,16.0
246.75,41.6,4.37,16.0
247.75,41.6,4.204,16.0
248.75,41.6,4.245,16.0
249.75,41.6,4.284,16.0
251.28,41.7,4.275,16.0
253.84,41.7,4.419,16.0
256.16,41.7,4.357,16.0
257.19,41.7,4.747,16.0
258.19,41.7,4.391,16.0
259.19,41.7,4.469,16.0
261.07,41.7,4.304,16.0
263.08,41.7,4.266,16.0
264.72,41.7,4.256,16.0
266.47,41.7,4.264,16.0
268.59,41.7,4.345,16.0
269.59,41.7,4.397,16.0
