Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.9,0.728,0.0
1.0,37.8,4.131,0.0
2.0,37.8,6.757,0.0
3.0,37.8,5.437,0.0
4.09,37.8,5.443,0.0
5.09,37.8,5.41,0.0
6.09,37.8,5.517,0.0
7.09,37.8,5.519,0.0
8.09,37.8,5.265,0.0
9.09,37.7,5.263,0.0
10.09,37.7,5.188,0.0
11.81,37.7,4.934,0.0
12.93,37.8,5.023,0.0
15.5,37.8,4.979,0.0
16.5,37.8,5.133,0.0
17.73,37.8,5.085,0.0
18.73,37.8,4.965,0.0
20.42,37.8,5.081,0.0
21.99,37.8,5.084,0.0
23.48,37.8,4.895,0.0
25.12,37.8,4.904,0.0
26.46,38.0,4.982,0.0
28.14,38.0,4.969,0.0
29.14,38.0,5.035,0.0
30.99,38.1,5.081,0.0
31.99,38.1,4.947,0.0
32.99,38.1,5.041,0.0
33.99,38.1,4.848,0.0
34.99,38.1,4.89,0.0
36.02,38.1,4.836,0.0
37.1,38.1,4.761,0.0
38.77,38.1,4.887,0.0
39.77,38.1,4.836,0.0
40.77,38.3,4.835,0.0
41.83,38.3,4.836,0.0
43.46,38.3,4.775,0.0
44.46,38.3,4.816,0.0
45.46,38.3,4.839,0.0
46.46,38.3,4.799,0.0
47.46,38.3,4.799,0.0
48.46,38.3,4.907,0.0
50.19,38.5,4.772,0.0
51.39,38.5,4.772,0.0
52.39,38.5,4.928,0.0
53.39,38.5,4.826,0.0
54.39,38.5,4.629,0.0
55.98,38.5,4.686,0.0
56.98,38.5,4.898,0.0
58.69,38.5,4.804,0.0
60.05,38.5,4.812,0.0
61.05,38.7,4.777,0.0
62.06,38.7,4.775,0.0
63.06,38.7,4.695,0.0
64.06,38.7,4.775,0.0
65.63,38.7,4.699,0.0
66.93,38.7,4.732,0.0
68.45,38.7,4.772,0.0
69.57,38.7,4.755,0.0
71.14,38.9,4.611,0.0
72.14,39.0,4.606,0.0
73.59,39.0,4.685,0.0
74.59,39.0,4.751,0.0
75.59,39.0,4.686,0.0
76.91,39.0,4.629,0.0
77.91,39.0,4.494,0.0
78.91,39.0,4.648,0.0
80.32,39.0,4.589,0.0
81.32,39.2,4.422,0.0
82.32,39.2,4.419,0.0
83.32,39.2,4.604,0.0
84.32,39.2,4.646,0.0
85.42,39.2,4.792,0.0
86.74,39.2,4.709,0.0
88.0,39.2,4.788,0.0
90.34,39.2,4.604,0.0
91.34,39.4,4.611,0.0
92.34,39.4,4.61,0.0
93.34,39.4,4.587,0.0
94.34,39.4,4.585,0.0
96.03,39.4,4.648,0.0
98.27,39.4,4.611,0.0
99.31,39.4,4.611,0.0
100.31,39.6,4.476,0.0
101.9,39.6,4.424,0.0
102.9,39.6,4.494,0.0
103.99,39.6,4.402,0.0
104.99,39.6,4.494,0.0
105.99,39.6,4.476,0.0
106.99,39.6,4.565,0.0
108.26,39.6,4.552,0.0
109.26,39.6,4.565,0.0
110.26,39.8,4.583,0.0
111.85,39.8,4.542,0.0
113.29,39.8,4.552,0.0
114.29,39.8,4.553,0.0
115.29,39.8,4.727,0.0
116.3,39.8,4.798,0.0
118.12,39.8,4.692,0.0
119.25,39.8,4.692,0.0
120.25,39.8,4.661,0.0
121.25,39.9,4.544,0.0
124.11,40.0,4.699,0.0
125.11,40.0,4.599,0.0
126.82,40.0,4.587,0.0
128.91,40.1,4.552,0.0
129.91,40.1,4.715,0.0
130.91,40.1,4.641,0.0
131.91,40.1,4.729,0.0
132.91,40.1,4.57,0.0
134.23,40.1,4.562,0.0
135.93,40.1,4.641,0.0
138.41,40.1,4.545,0.0
139.41,40.1,4.55,0.0
140.41,40.1,4.604,0.0
141.41,40.3,4.488,0.0
142.41,40.3,4.598,0.0
143.41,40.3,4.61,0.0
144.86,40.3,4.341,0.0
145.86,40.3,4.656,0.0
146.86,40.3,4.283,0.0
147.86,40.3,4.451,0.0
148.9,40.3,4.473,0.0
150.49,40.3,4.511,0.0
151.49,40.4,4.474,0.0
152.77,40.4,4.544,0.0
155.11,40.4,4.564,0.0
156.11,40.4,4.588,0.0
157.67,40.4,4.563,0.0
158.67,40.4,4.615,0.0
159.87,40.4,4.511,0.0
160.87,40.5,4.583,0.0
161.87,40.5,4.603,0.0
162.89,40.5,4.604,0.0
164.13,40.5,4.638,0.0
165.13,40.5,4.506,0.0
166.13,40.5,4.527,0.0
167.13,40.5,4.326,0.0
168.32,40.5,4.529,0.0
169.32,40.5,4.465,0.0
171.07,40.6,4.398,0.0
172.07,40.6,4.47,0.0
173.93,40.6,4.351,0.0
174.93,40.6,4.506,0.0
176.14,40.6,4.643,0.0
177.84,40.6,4.567,0.0
179.04,40.6,4.584,0.0
180.04,40.6,4.52,0.0
181.07,40.7,4.302,0.0
182.07,40.7,4.377,0.0
183.07,40.7,4.433,0.0
184.83,40.7,4.396,0.0
186.78,40.7,4.393,0.0
187.78,40.7,4.451,0.0
190.62,40.7,4.304,0.0
191.62,40.9,4.34,0.0
192.62,40.9,4.472,0.0
194.1,40.9,4.229,0.0
195.39,40.9,4.246,0.0
196.48,40.9,4.317,0.0
197.55,40.9,4.325,0.0
198.55,40.9,4.397,0.0
199.55,41.0,4.303,0.0
200.92,41.0,4.456,0.0
202.61,41.0,4.414,0.0
203.61,41.0,4.414,0.0
204.61,41.0,4.229,0.0
207.48,41.0,4.247,0.0
208.48,41.0,4.471,0.0
210.83,41.1,4.623,0.0
212.4,41.1,4.362,0.0
213.4,41.1,4.636,0.0
214.4,41.1,4.355,0.0
215.5,41.1,4.47,0.0
216.5,41.1,4.47,0.0
218.08,41.1,4.447,0.0
219.72,41.1,4.461,0.0
221.0,41.1,4.538,0.0
222.0,41.2,4.539,0.0
223.31,41.2,4.455,0.0
225.0,41.2,4.393,0.0
226.0,41.2,4.194,0.0
227.15,41.2,4.377,0.0
228.4,41.2,4.375,0.0
230.34,41.3,4.472,0.0
232.77,41.3,4.656,0.0
233.77,41.3,4.47,0.0
235.13,41.3,4.355,0.0
237.57,41.3,4.558,0.0
238.57,41.3,4.638,0.0
239.57,41.3,4.544,0.0
240.57,41.3,4.598,0.0
241.57,41.4,4.523,0.0
242.82,41.4,4.523,0.0
243.82,41.4,4.48,0.0
244.82,41.4,4.354,0.0
246.75,41.4,4.455,0.0
247.76,41.4,4.372,0.0
248.76,41.4,4.313,0.0
250.28,41.4,4.542,0.0
251.28,41.5,4.319,0.0
253.11,41.5,4.445,0.0
254.11,41.5,4.521,0.0
255.11,41.5,4.429,0.0
256.24,41.5,4.758,0.0
257.24,41.5,4.517,0.0
259.94,41.5,4.351,0.0
260.94,41.5,4.358,0.0
261.94,41.6,4.466,0.0
263.43,41.6,4.479,0.0
264.43,41.6,4.443,0.0
265.43,41.6,4.372,0.0
266.84,41.6,4.372,0.0
267.84,41.6,4.279,0.0
269.02,41.7,4.273,0.0
272.42,41.7,4.282,0.0
273.42,41.7,4.245,0.0
274.42,41.7,4.299,0.0
275.42,41.7,4.244,0.0
276.42,41.7,4.249,0.0
277.42,41.7,4.225,0.0
278.42,41.7,4.263,0.0
279.49,41.7,4.354,0.0
280.81,41.7,4.45,0.0
281.95,41.7,4.242,0.0
283.03,41.7,4.154,0.0
284.84,41.7,4.156,0.0
285.96,41.7,4.263,0.0
286.96,41.7,4.211,0.0
288.2,41.7,4.263,0.0
289.31,41.8,4.369,0.0
292.41,41.8,4.467,0.0
293.41,41.8,4.412,0.0
295.06,41.8,4.29,0.0
296.43,41.8,4.412,0.0
297.43,41.8,4.279,0.0
298.43,41.8,4.355,0.0
