Time(s),Temp(C),Power(W),Freq0(MHz),Freq4(MHz),Freq7(MHz)
0.0,37.4,0.946,2016.0,2707.2,2918.4
2.0,37.4,1.352,2016.0,2188.8,2304.0
4.0,37.4,1.831,2016.0,2188.8,2304.0
6.0,37.4,2.224,2016.0,2188.8,2150.4
8.0,37.4,1.04,2016.0,2073.6,2150.4
10.0,37.4,0.328,2016.0,1920.0,2150.4
12.0,37.4,0.189,2016.0,1920.0,2150.4
14.0,37.4,0.168,2016.0,1920.0,2150.4
16.0,37.4,0.108,2016.0,1920.0,2150.4
18.0,37.4,0.168,2016.0,1920.0,2150.4
20.01,37.5,0.365,2016.0,1920.0,2150.4
22.01,37.5,0.664,2016.0,1920.0,2150.4
24.01,37.6,3.086,2016.0,2707.2,2918.4
26.01,37.6,0.092,2016.0,1401.6,1324.8
28.01,37.6,0.47,2016.0,1401.6,1324.8
30.01,37.6,0.47,2016.0,1401.6,1324.8
32.01,37.6,0.47,2016.0,1401.6,1324.8
34.01,37.6,0.47,2016.0,1401.6,1324.8
36.01,37.6,0.47,2016.0,1401.6,1324.8
38.01,37.6,0.471,2016.0,1497.6,1459.2
40.01,37.7,0.35,2016.0,1593.6,1459.2
42.01,37.7,0.249,2016.0,1708.8,1459.2
44.02,37.7,0.129,2016.0,1708.8,1459.2
46.02,37.7,0.189,2016.0,1593.6,1324.8
48.02,37.7,0.133,2016.0,1497.6,1324.8
50.02,37.7,0.35,2016.0,1401.6,1324.8
52.02,37.7,0.47,2016.0,1401.6,1324.8
54.02,37.7,0.47,2016.0,1497.6,1459.2
56.02,37.7,0.169,2016.0,1593.6,1459.2
58.02,37.7,0.169,2016.0,1708.8,1459.2
60.02,37.8,0.149,2016.0,1593.6,1324.8
62.02,37.8,0.149,2016.0,1497.6,1324.8
64.02,37.8,0.229,2016.0,1401.6,1324.8
66.02,37.8,0.209,2016.0,1401.6,1324.8
68.02,37.8,1.204,2016.0,1401.6,1324.8
70.02,37.8,0.169,2016.0,1401.6,1324.8
72.02,37.8,1.58,2016.0,1401.6,1324.8
74.02,37.8,1.204,2016.0,1401.6,1324.8
76.02,37.8,1.42,2016.0,1401.6,1324.8
78.02,37.8,1.163,2016.0,1401.6,1324.8
80.02,37.8,1.124,2016.0,1401.6,1324.8
82.02,37.8,1.084,2016.0,1401.6,1324.8
84.02,37.8,1.184,2016.0,1401.6,1324.8
86.02,37.8,1.245,2016.0,1401.6,1324.8
88.03,37.8,1.085,2016.0,1401.6,1324.8
90.03,37.8,2.037,2016.0,1401.6,1324.8
92.03,37.8,1.28,2016.0,1401.6,1324.8
94.03,37.8,1.104,2016.0,1401.6,1324.8
96.03,37.8,0.767,2016.0,1401.6,1324.8
98.03,37.8,0.807,2016.0,1401.6,1324.8
100.03,37.9,0.748,2016.0,1497.6,1459.2
102.03,37.9,0.884,2016.0,1593.6,1459.2
104.03,37.9,0.904,2016.0,1708.8,1459.2
106.03,37.9,1.319,2016.0,1708.8,1459.2
108.03,37.9,1.084,2016.0,1708.8,1459.2
110.03,37.9,1.123,2016.0,1708.8,1459.2
112.03,37.9,1.38,2016.0,1593.6,1324.8
114.03,37.9,1.124,2016.0,1497.6,1324.8
116.03,37.9,0.884,2016.0,1401.6,1324.8
118.03,37.9,0.786,2016.0,1401.6,1324.8
120.03,37.9,1.063,2016.0,1401.6,1324.8
122.03,37.9,1.143,2016.0,1401.6,1324.8
124.03,37.9,0.842,2016.0,1401.6,1324.8
126.03,37.9,0.725,2016.0,1497.6,1459.2
128.03,37.9,0.844,2016.0,1593.6,1459.2
130.03,37.9,0.727,2016.0,1708.8,1459.2
132.03,37.9,1.643,2016.0,1708.8,1459.2
134.03,37.9,0.881,2016.0,1708.8,1459.2
136.03,37.9,0.961,2016.0,1708.8,1459.2
138.03,37.9,1.042,2016.0,1708.8,1459.2
140.03,37.9,1.121,2016.0,1708.8,1459.2
142.04,37.9,0.981,2016.0,1708.8,1459.2
144.04,37.9,1.298,2016.0,1708.8,1459.2
146.04,37.9,1.059,2016.0,1593.6,1324.8
148.04,37.9,0.822,2016.0,1497.6,1324.8
150.04,37.9,0.863,2016.0,1401.6,1324.8
152.04,37.9,0.862,2016.0,1401.6,1324.8
154.04,37.9,0.727,2016.0,1401.6,1324.8
156.04,37.9,0.646,2016.0,1401.6,1324.8
158.04,37.9,1.28,2016.0,1401.6,1324.8
160.04,37.9,1.833,2016.0,1401.6,1324.8
162.04,37.9,1.163,2016.0,1401.6,1324.8
164.04,37.9,0.747,2016.0,1401.6,1324.8
166.04,38.0,0.746,2016.0,1401.6,1324.8
168.04,38.0,0.706,2016.0,1401.6,1324.8
170.04,38.0,0.345,2016.0,1401.6,1324.8
172.04,38.0,0.405,2016.0,1401.6,1324.8
174.04,38.0,0.506,2016.0,1401.6,1324.8
176.04,38.0,0.486,2016.0,1401.6,1324.8
178.04,38.0,0.329,2016.0,1497.6,1459.2
180.04,38.0,0.863,2016.0,1497.6,1459.2
182.04,38.0,0.625,2016.0,1708.8,1459.2
184.04,38.0,0.942,2016.0,1708.8,1459.2
186.04,38.0,0.861,2016.0,1593.6,1324.8
188.04,38.0,0.565,2016.0,1497.6,1324.8
190.04,38.0,0.545,2016.0,1401.6,1324.8
192.05,38.0,0.665,2016.0,1401.6,1324.8
194.05,38.0,0.706,2016.0,1401.6,1324.8
196.05,38.0,0.545,2016.0,1401.6,1324.8
198.05,38.0,0.626,2016.0,1401.6,1324.8
200.05,38.0,0.505,2016.0,1401.6,1324.8
202.05,38.0,0.385,2016.0,1401.6,1324.8
204.05,38.0,0.525,2016.0,1401.6,1324.8
206.05,38.0,0.922,2016.0,1401.6,1324.8
208.05,38.0,0.606,2016.0,1401.6,1324.8
210.05,38.0,0.525,2016.0,1401.6,1324.8
212.05,38.0,0.485,2016.0,1401.6,1324.8
214.05,38.0,0.505,2016.0,1401.6,1324.8
216.05,38.0,0.345,2016.0,1497.6,1459.2
218.05,38.0,0.345,2016.0,1401.6,1324.8
220.05,38.0,0.128,2016.0,1401.6,1324.8
222.05,38.0,0.289,2016.0,1401.6,1459.2
224.05,38.0,0.229,2016.0,1497.6,1459.2
226.05,38.0,0.405,2016.0,1593.6,1459.2
228.05,38.0,0.605,2016.0,1708.8,1459.2
230.05,38.0,0.466,2016.0,1708.8,1459.2
232.05,38.0,0.405,2016.0,1708.8,1459.2
234.05,38.0,0.505,2016.0,1593.6,1324.8
236.05,38.0,3.712,2016.0,1497.6,1324.8
238.05,38.0,3.206,2016.0,1401.6,1324.8
240.05,38.1,0.364,2016.0,1401.6,1324.8
242.06,38.1,0.465,2016.0,1401.6,1324.8
244.06,38.1,0.028,2016.0,1401.6,1324.8
246.06,38.1,0.048,2016.0,1401.6,1324.8
248.06,38.1,0.525,2016.0,1401.6,1324.8
250.06,38.1,0.685,2016.0,1401.6,1324.8
252.06,38.1,0.625,2016.0,1401.6,1324.8
254.06,38.1,0.405,2016.0,1401.6,1324.8
256.06,38.1,0.309,2016.0,1401.6,1324.8
258.06,38.1,0.088,2016.0,1401.6,1324.8
260.06,38.1,0.128,2016.0,1401.6,1324.8
262.06,38.1,0.068,2016.0,1401.6,1324.8
264.06,38.1,0.068,2016.0,1401.6,1324.8
266.06,38.1,0.028,2016.0,1401.6,1324.8
268.06,38.1,0.289,2016.0,1401.6,1324.8
270.06,38.2,0.309,2016.0,1401.6,1324.8
272.06,38.2,0.189,2016.0,1401.6,1324.8
274.06,38.2,0.426,2016.0,1401.6,1324.8
276.06,38.2,0.586,2016.0,1401.6,1324.8
278.06,38.2,0.705,2016.0,1401.6,1324.8
280.06,38.2,0.545,2016.0,1401.6,1324.8
282.06,38.2,0.148,2016.0,1401.6,1324.8
284.06,38.2,0.148,2016.0,1401.6,1324.8
286.06,38.2,0.365,2016.0,1401.6,1324.8
288.07,38.2,0.248,2016.0,1401.6,1324.8
290.07,38.2,0.052,2016.0,1401.6,1324.8
292.07,38.2,0.289,2016.0,1401.6,1324.8
294.07,38.2,0.404,2016.0,1401.6,1324.8
296.07,38.2,0.405,2016.0,1401.6,1324.8
298.07,38.2,0.962,2016.0,1401.6,1324.8
300.07,38.2,0.108,2016.0,1401.6,1324.8
302.07,38.2,0.028,2016.0,1401.6,1324.8
304.07,38.2,0.028,2016.0,1401.6,1324.8
306.07,38.2,0.028,2016.0,1401.6,1324.8
308.07,38.2,1.48,2016.0,1401.6,1324.8
310.07,38.2,0.168,2016.0,1401.6,1324.8
312.07,38.2,0.228,2016.0,1401.6,1324.8
314.07,38.2,0.048,2016.0,1401.6,1324.8
316.07,38.2,0.132,2016.0,1401.6,1324.8
318.07,38.2,0.269,2016.0,1401.6,1324.8
320.07,38.2,0.49,2016.0,1401.6,1324.8
322.07,38.2,0.55,2016.0,1401.6,1324.8
324.08,38.2,0.861,2016.0,1401.6,1324.8
326.08,38.2,1.359,2016.0,1401.6,1324.8
328.08,38.2,0.384,2016.0,1401.6,1324.8
330.08,38.2,0.429,2016.0,1401.6,1324.8
332.08,38.2,0.43,2016.0,1401.6,1324.8
334.08,38.2,0.289,2016.0,1401.6,1324.8
336.08,38.2,0.429,2016.0,1401.6,1324.8
338.08,38.2,0.591,2016.0,1401.6,1324.8
340.08,38.2,0.571,2016.0,1401.6,1324.8
342.08,38.2,0.929,2016.0,1497.6,1459.2
344.08,38.2,0.807,2016.0,1593.6,1459.2
346.08,38.2,0.88,2016.0,1708.8,1459.2
348.09,38.2,0.643,2016.0,1593.6,1324.8
350.09,38.2,0.444,2016.0,1497.6,1324.8
352.09,38.2,0.189,2016.0,1401.6,1324.8
354.09,38.2,0.842,2016.0,1401.6,1324.8
356.09,38.2,0.068,2016.0,1401.6,1324.8
358.09,38.2,0.028,2016.0,1401.6,1324.8
360.09,38.2,0.229,2016.0,1401.6,1324.8
362.09,38.2,0.329,2016.0,1401.6,1324.8
364.09,38.2,0.028,2016.0,1401.6,1324.8
366.09,38.2,0.364,2016.0,1401.6,1324.8
368.09,38.2,0.445,2016.0,1401.6,1324.8
370.09,38.2,0.128,2016.0,1401.6,1324.8
372.09,38.2,0.128,2016.0,1401.6,1324.8
374.1,38.2,0.092,2016.0,1401.6,1324.8
376.1,38.2,0.072,2016.0,1401.6,1324.8
378.1,38.2,0.209,2016.0,1401.6,1324.8
380.1,38.2,0.429,2016.0,1401.6,1324.8
382.1,38.2,0.329,2016.0,1401.6,1324.8
384.1,38.2,0.389,2016.0,1401.6,1324.8
386.1,38.2,0.028,2016.0,1401.6,1324.8
388.1,38.2,0.308,2016.0,1401.6,1324.8
390.1,38.2,0.168,2016.0,1401.6,1324.8
392.1,38.2,0.189,2016.0,1401.6,1324.8
394.11,38.2,0.269,2016.0,1401.6,1324.8
396.11,38.2,0.33,2016.0,1401.6,1324.8
398.11,38.2,0.189,2016.0,1401.6,1324.8
400.11,38.2,0.072,2016.0,1401.6,1324.8
402.11,38.2,0.389,2016.0,1401.6,1324.8
404.11,38.2,0.309,2016.0,1401.6,1324.8
406.11,38.2,0.429,2016.0,1497.6,1324.8
408.11,38.2,0.349,2016.0,1593.6,1459.2
410.11,38.2,0.189,2016.0,1708.8,1459.2
412.11,38.2,0.188,2016.0,1593.6,1324.8
414.11,38.2,0.188,2016.0,1497.6,1324.8
416.11,38.2,0.189,2016.0,1401.6,1324.8
418.11,38.2,0.048,2016.0,1401.6,1324.8
420.11,38.2,0.329,2016.0,1401.6,1324.8
422.12,38.2,0.429,2016.0,1401.6,1324.8
424.12,38.2,0.49,2016.0,1401.6,1324.8
426.12,38.2,0.369,2016.0,1401.6,1324.8
428.12,38.2,0.148,2016.0,1401.6,1324.8
430.12,38.2,0.249,2016.0,1401.6,1324.8
432.12,38.2,0.052,2016.0,1401.6,1324.8
