Time(s),Temp(C),Power(W),Freq0(MHz),Freq4(MHz),Freq7(MHz)
0.0,36.7,3.971,2016.0,2707.2,2918.4
2.0,36.7,3.689,2016.0,1708.8,960.0
4.0,36.7,0.132,1708.8,1708.8,960.0
6.0,36.7,0.545,2016.0,1708.8,1459.2
8.0,36.6,0.663,2016.0,1708.8,960.0
10.0,36.6,1.076,2016.0,1708.8,1324.8
12.0,36.6,0.664,2016.0,1708.8,1459.2
14.0,36.6,0.327,2016.0,1708.8,960.0
16.01,36.6,0.288,2016.0,1708.8,1459.2
18.01,36.7,0.187,1708.8,1708.8,960.0
20.01,36.7,0.463,2016.0,1708.8,960.0
22.01,36.7,0.343,1900.8,1708.8,960.0
24.01,36.7,0.108,1708.8,1708.8,1459.2
26.01,36.7,0.048,2016.0,1708.8,960.0
28.01,36.7,1.493,1900.8,1708.8,960.0
30.01,36.7,0.267,1900.8,1708.8,960.0
32.01,36.7,0.443,1900.8,1708.8,960.0
34.01,36.7,0.072,1708.8,1708.8,960.0
36.01,36.7,0.052,2016.0,1708.8,960.0
38.02,36.8,0.112,2016.0,1708.8,960.0
40.02,36.8,0.188,1708.8,1708.8,1459.2
42.02,36.8,0.112,2016.0,1708.8,960.0
44.02,36.8,0.288,1708.8,1708.8,960.0
46.02,36.8,0.368,1708.8,1708.8,960.0
48.02,36.8,0.188,1900.8,1708.8,960.0
50.02,36.8,0.328,1708.8,1708.8,960.0
52.02,36.8,0.248,1708.8,1708.8,1459.2
54.02,36.8,0.268,2016.0,1708.8,1459.2
56.02,36.8,0.228,2016.0,1708.8,1094.4
58.02,36.9,0.108,1708.8,1708.8,960.0
60.03,36.9,0.0,1708.8,1708.8,960.0
62.03,36.9,0.072,1708.8,1708.8,960.0
64.03,36.9,0.112,1708.8,1708.8,960.0
66.03,36.9,0.148,2016.0,1708.8,960.0
68.03,36.9,0.0,1708.8,1708.8,960.0
70.03,37.0,0.168,1708.8,1708.8,960.0
72.03,37.0,0.308,1900.8,1708.8,960.0
74.03,37.0,0.148,2016.0,1708.8,960.0
76.03,37.0,0.308,2016.0,1708.8,960.0
78.03,37.0,0.088,1708.8,1708.8,960.0
80.03,37.0,0.092,1708.8,1708.8,960.0
82.03,37.0,0.112,2016.0,1708.8,1459.2
84.03,37.0,0.148,1708.8,1708.8,960.0
86.03,37.0,0.032,1900.8,1708.8,960.0
88.04,37.1,0.288,1708.8,1708.8,960.0
90.04,37.1,0.032,1708.8,1708.8,1459.2
